C:\Users\Tay\Desktop\Coding\aquadisplay\about.html
heading|issue|element|id|class|line|column|description
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_2.H25.2|<title>About Aquatrader and Aquascraper</title>|||5|3|Check that the title element describes the document.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a class="nav-link" href="./index.html">Home</a>||nav-link|35|31|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a class="nav-link active" href="#">About</a>||nav-link active|1|0|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a class="nav-link" href="./leaderboard.html">Leaderboard</a>||nav-link|1|0|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a id="loginLink" class="nav-link" href="./signup.html">Login</a>|loginLink|nav-link|1|0|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a href="https://aquabid.com">aquabid.com</a>|||44|140|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
WARNING|WCAG2A.Principle1.Guideline1_3.1_3_1.H48|<p>After <a href="./signup.html"> creating an account</a> and logging in. Each player starts with $500 in cash. This amount can be used to buy different stocks of fish. Prices change each day based on the average of all sales from the previous day. As you buy and sell fish stocks, the value of your portfolio will change. The goal is to have the most value of all players displayed on the <a href="./leaderboard.html">leaderboard</a>. </p>|||47|10|If this element contains a navigation section, it is recommended that it be marked up as a list.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a href="./signup.html"> creating an account</a>|||47|19|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a href="./leaderboard.html">leaderboard</a>|||47|400|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
WARNING|WCAG2A.Principle1.Guideline1_3.1_3_1.H48|<p>I made this as a personal project as a way to learn how to <a href="https://medium.com/@Tnodes/all-i-wanted-to-do-is-scrape-in-javascript-c329c8e757e3"> scrape in JavaScript</a> and to learn D3.js. The categories of fish are defined by aquabid. Fish sales data is from <a href="https://aquabid.com">aquabid.com</a> and is updated each night at 12:30am PST.</p>|||51|9|If this element contains a navigation section, it is recommended that it be marked up as a list.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a href="https://medium.com/@Tnodes/all-i-wanted-to-do-is-scrape-in-javascript-c329c8e757e3"> scrape in JavaScript</a>|||51|71|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a href="https://aquabid.com">aquabid.com</a>|||44|140|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a href="http://www.aquabid.com/cgi-bin/auction/closed.cgi">closed auctions on aquabid</a>|||53|57|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a href="http://www.aquabid.com/robots.txt">aquabid's robots.txt</a>|||54|70|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a href="https://github.com/nodes777/aquadisplay">github.</a>|||55|24|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|<a href="https://github.com/nodes777/aquascraper">scraper's github.</a>|||56|84|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
